Call Type,Incident Number,Battalion,Station Area,Call Type Group,nodeID,parentID
Traffic Collision,3,B99,15,Non Life-threatening,Non Life-threatening.Traffic Collision.B99,Non Life-threatening.Traffic Collision
Vehicle Fire,148,B06,32,Fire,Fire.Vehicle Fire.B06,Fire.Vehicle Fire
Traffic Collision,3,B01,,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B01,Potentially Life-Threatening.Traffic Collision
Elevator / Escalator Rescue,120,B03,29,Alarm,Alarm.Elevator / Escalator Rescue.B03,Alarm.Elevator / Escalator Rescue
"Extrication / Entrapped (Machinery, Vehicle)",6,B06,7,Fire,"Fire.Extrication / Entrapped (Machinery, Vehicle).B06","Fire.Extrication / Entrapped (Machinery, Vehicle)"
Smoke Investigation (Outside),153,B10,25,Alarm,Alarm.Smoke Investigation (Outside).B10,Alarm.Smoke Investigation (Outside)
Train / Rail Incident,46,B02,1,Fire,Fire.Train / Rail Incident.B02,Fire.Train / Rail Incident
Medical Incident,5,B99,32,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B99,Potentially Life-Threatening.Medical Incident
"Extrication / Entrapped (Machinery, Vehicle)",6,B09,26,Fire,"Fire.Extrication / Entrapped (Machinery, Vehicle).B09","Fire.Extrication / Entrapped (Machinery, Vehicle)"
Elevator / Escalator Rescue,1,B99,44,Alarm,Alarm.Elevator / Escalator Rescue.B99,Alarm.Elevator / Escalator Rescue
Other,29,B01,1,Non Life-threatening,Non Life-threatening.Other.B01,Non Life-threatening.Other
Citizen Assist / Service Call,1,B03,15,Alarm,Alarm.Citizen Assist / Service Call.B03,Alarm.Citizen Assist / Service Call
Medical Incident,1,B02,1,Alarm,Alarm.Medical Incident.B02,Alarm.Medical Incident
Traffic Collision,3,B01,29,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B01,Potentially Life-Threatening.Traffic Collision
Alarms,3,B02,21,Alarm,Alarm.Alarms.B02,Alarm.Alarms
Other,267,B08,39,Alarm,Alarm.Other.B08,Alarm.Other
Medical Incident,1,B09,21,Non Life-threatening,Non Life-threatening.Medical Incident.B09,Non Life-threatening.Medical Incident
"Extrication / Entrapped (Machinery, Vehicle)",1,B01,41,Fire,"Fire.Extrication / Entrapped (Machinery, Vehicle).B01","Fire.Extrication / Entrapped (Machinery, Vehicle)"
Elevator / Escalator Rescue,1,B03,,Alarm,Alarm.Elevator / Escalator Rescue.B03,Alarm.Elevator / Escalator Rescue
Other,1,B05,12,Fire,Fire.Other.B05,Fire.Other
Vehicle Fire,44,B06,24,Fire,Fire.Vehicle Fire.B06,Fire.Vehicle Fire
Medical Incident,19323,B01,2,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B01,Potentially Life-Threatening.Medical Incident
Other,344,B06,32,Alarm,Alarm.Other.B06,Alarm.Other
Structure Fire,38,B07,,Alarm,Alarm.Structure Fire.B07,Alarm.Structure Fire
HazMat,3,B01,3,Alarm,Alarm.HazMat.B01,Alarm.HazMat
