Call Type,Incident Number,Battalion,Station Area,Call Type Group
Traffic Collision,3,B99,15,Non Life-threatening
Vehicle Fire,148,B06,32,Fire
Traffic Collision,3,B01,,Potentially Life-Threatening
Elevator / Escalator Rescue,120,B03,29,Alarm
"Extrication / Entrapped (Machinery, Vehicle)",6,B06,07,Fire
Smoke Investigation (Outside),153,B10,25,Alarm
Train / Rail Incident,46,B02,01,Fire
Medical Incident,5,B99,32,Potentially Life-Threatening
"Extrication / Entrapped (Machinery, Vehicle)",6,B09,26,Fire
Elevator / Escalator Rescue,1,B99,44,Alarm
Other,29,B01,01,Non Life-threatening
Citizen Assist / Service Call,1,B03,15,Alarm
Medical Incident,1,B02,01,Alarm
Traffic Collision,3,B01,29,Potentially Life-Threatening
Alarms,3,B02,21,Alarm
Other,267,B08,39,Alarm
Medical Incident,1,B09,21,Non Life-threatening
"Extrication / Entrapped (Machinery, Vehicle)",1,B01,41,Fire
Elevator / Escalator Rescue,1,B03,,Alarm
Other,1,B05,12,Fire
Vehicle Fire,44,B06,24,Fire
Medical Incident,19323,B01,02,Potentially Life-Threatening
Other,344,B06,32,Alarm
Structure Fire,38,B07,,Alarm
HazMat,3,B01,03,Alarm
Medical Incident,1,B04,37,Potentially Life-Threatening
Citizen Assist / Service Call,308,B04,10,Alarm
Industrial Accidents,5,B10,09,Fire
Elevator / Escalator Rescue,211,B03,35,Alarm
Outside Fire,508,B01,28,Fire
HazMat,5,B05,06,Fire
Traffic Collision,1,B07,29,Non Life-threatening
Vehicle Fire,49,B08,39,Fire
Outside Fire,458,B04,16,Fire
Outside Fire,110,B06,26,Fire
Traffic Collision,4,B06,33,Non Life-threatening
Medical Incident,5,B09,44,Alarm
Medical Incident,34,B09,42,Alarm
Gas Leak (Natural and LP Gases),1,B05,,Alarm
Outside Fire,1,B09,07,Fire
Other,222,B06,24,Alarm
HazMat,9,B10,44,Alarm
Medical Incident,1,B100,,Non Life-threatening
HazMat,4,B10,42,Alarm
HazMat,13,B03,01,Fire
Industrial Accidents,12,B02,29,Fire
HazMat,9,B07,34,Alarm
Outside Fire,612,B02,07,Fire
Assist Police,4,B06,24,Alarm
Medical Incident,2,B08,07,Non Life-threatening
HazMat,3,B05,24,Alarm
Medical Incident,25,B02,05,Alarm
Assist Police,13,B06,32,Alarm
Gas Leak (Natural and LP Gases),9,B10,07,Alarm
Odor (Strange / Unknown),1,B07,,Alarm
Smoke Investigation (Outside),82,B09,32,Alarm
Other,84,B02,06,Non Life-threatening
Gas Leak (Natural and LP Gases),12,B08,12,Alarm
Industrial Accidents,4,B09,43,Fire
Medical Incident,23,B02,21,Non Life-threatening
Medical Incident,1,B07,51,Non Life-threatening
Fuel Spill,15,B07,10,Alarm
Assist Police,10,B08,39,Alarm
Medical Incident,16,B02,31,Non Life-threatening
Gas Leak (Natural and LP Gases),23,B08,20,Alarm
Other,22,B03,08,Fire
Structure Fire,21,B10,14,Alarm
HazMat,7,B09,33,Fire
Other,91,B10,17,Non Life-threatening
"Extrication / Entrapped (Machinery, Vehicle)",8,B02,36,Fire
Explosion,12,B04,10,Fire
Citizen Assist / Service Call,1,B07,01,Alarm
Traffic Collision,474,B05,10,Potentially Life-Threatening
Medical Incident,11,B03,07,Potentially Life-Threatening
Smoke Investigation (Outside),31,B03,03,Alarm
Medical Incident,18,B06,37,Potentially Life-Threatening
Fuel Spill,15,B04,05,Alarm
Water Rescue,1321,B08,19,Fire
Other,2,B07,23,Alarm
Confined Space / Structure Collapse,7,B03,04,Fire
Structure Fire,14098,B02,36,Alarm
Traffic Collision,2429,B02,36,Non Life-threatening
Traffic Collision,102,B05,24,Potentially Life-Threatening
Other,3,B02,18,Alarm
Citizen Assist / Service Call,332,B06,24,Alarm
Odor (Strange / Unknown),77,B06,07,Alarm
Medical Incident,2897,B08,33,Non Life-threatening
Traffic Collision,6,B10,05,Potentially Life-Threatening
Odor (Strange / Unknown),4,B03,37,Alarm
Medical Incident,4,B07,06,Non Life-threatening
Odor (Strange / Unknown),14,B09,26,Alarm
Traffic Collision,1314,B10,42,Potentially Life-Threatening
Other,30,B07,14,Non Life-threatening
Traffic Collision,1092,B10,44,Potentially Life-Threatening
Odor (Strange / Unknown),3,B08,23,Fire
Medical Incident,2,B09,01,Potentially Life-Threatening
Water Rescue,3782,B99,51,Fire
Medical Incident,4,B05,25,Potentially Life-Threatening
Odor (Strange / Unknown),114,B01,41,Alarm
Citizen Assist / Service Call,422,B06,32,Alarm
Elevator / Escalator Rescue,32,B10,25,Alarm
Smoke Investigation (Outside),60,B03,29,Alarm
Traffic Collision,776,B07,34,Potentially Life-Threatening
Medical Incident,27,B10,04,Potentially Life-Threatening
Medical Incident,432,B07,22,Non Life-threatening
Other,2,B09,40,Alarm
Other,232,B04,10,Alarm
Structure Fire,599,B10,37,Fire
Industrial Accidents,11,B02,03,Fire
HazMat,13,B04,16,Fire
Smoke Investigation (Outside),70,B03,35,Alarm
Medical Incident,4,B07,18,Potentially Life-Threatening
Medical Incident,3,B02,23,Potentially Life-Threatening
Outside Fire,575,B05,06,Fire
Medical Incident,12076,B02,05,Potentially Life-Threatening
Electrical Hazard,142,B10,37,Alarm
HazMat,10,B05,10,Alarm
Medical Incident,10,B01,06,Potentially Life-Threatening
Citizen Assist / Service Call,451,B08,39,Alarm
Gas Leak (Natural and LP Gases),54,B03,04,Alarm
Outside Fire,1,B05,22,Fire
Other,14,B07,21,Non Life-threatening
Outside Fire,1,B99,35,Fire
Outside Fire,1,B01,03,Alarm
Structure Fire,324,B09,19,Alarm
Other,40,B07,31,Non Life-threatening
Vehicle Fire,50,B04,10,Fire
Traffic Collision,69,B09,19,Non Life-threatening
Medical Incident,7,B02,44,Potentially Life-Threatening
Alarms,14273,B01,13,Alarm
Medical Incident,6,B02,42,Potentially Life-Threatening
Fuel Spill,1,B10,47,Alarm
Explosion,20,B06,32,Fire
Smoke Investigation (Outside),1,B06,13,Alarm
