Call Type Group,Call Type,Battalion,Station Area
Potentially Life-Threatening,Traffic Collision,B08,40
Fire,Outside Fire,B05,05
Fire,Vehicle Fire,B09,39
Potentially Life-Threatening,Medical Incident,B05,24
Alarm,Odor (Strange / Unknown),B04,16
Non Life-threatening,Medical Incident,B99,04
Potentially Life-Threatening,Medical Incident,B99,14
Fire,Structure Fire,B08,33
Alarm,Citizen Assist / Service Call,B07,37
Alarm,Other,B01,08
Non Life-threatening,Traffic Collision,B99,44
Alarm,Elevator / Escalator Rescue,B01,28
Alarm,Other,B10,06
Potentially Life-Threatening,Other,B07,31
Fire,Vehicle Fire,B10,07
Potentially Life-Threatening,Medical Incident,B03,37
Non Life-threatening,Traffic Collision,B99,05
Fire,Odor (Strange / Unknown),B01,41
Alarm,Structure Fire,B10,04
Alarm,HazMat,B03,48
Fire,Outside Fire,B03,40
Potentially Life-Threatening,Medical Incident,B05,32
Alarm,Other,B05,21
Alarm,Structure Fire,B02,06
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B10,32
Non Life-threatening,Medical Incident,B10,33
Alarm,HazMat,B01,01
Alarm,Assist Police,B09,42
Alarm,Medical Incident,B05,06
Potentially Life-Threatening,Medical Incident,B99,31
Alarm,Gas Leak (Natural and LP Gases),B06,07
Alarm,Citizen Assist / Service Call,B08,33
Potentially Life-Threatening,Medical Incident,B99,21
Non Life-threatening,Other,B06,24
Non Life-threatening,Other,B06,32
Potentially Life-Threatening,Other,B10,32
Fire,Outside Fire,B04,51
Non Life-threatening,Medical Incident,B02,24
Alarm,Alarms,B09,06
Alarm,Alarms,B02,03
Potentially Life-Threatening,Medical Incident,B07,22
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B07,21
Fire,Outside Fire,B03,13
Fire,Vehicle Fire,B07,34
Fire,Outside Fire,B01,03
Alarm,Citizen Assist / Service Call,B03,06
Potentially Life-Threatening,Other,B07,14
Alarm,Gas Leak (Natural and LP Gases),B05,10
Alarm,Citizen Assist / Service Call,B01,41
Alarm,Structure Fire,B09,17
Non Life-threatening,Medical Incident,B08,09
Alarm,Fuel Spill,B09,32
Alarm,Citizen Assist / Service Call,B10,09
Alarm,Other,B09,42
Non Life-threatening,Medical Incident,B08,51
Alarm,Other,B08,07
Alarm,Other,B09,44
Non Life-threatening,Traffic Collision,B99,01
Potentially Life-Threatening,Medical Incident,B08,34
Fire,Vehicle Fire,B08,22
Alarm,Gas Leak (Natural and LP Gases),B10,37
Alarm,Assist Police,B99,32
Fire,Structure Fire,B01,41
Alarm,Smoke Investigation (Outside),B04,10
Non Life-threatening,Other,B04,28
Alarm,Alarms,B10,44
Non Life-threatening,Medical Incident,B03,07
Alarm,Alarms,B10,42
Alarm,Other,B03,51
Fire,Structure Fire,B10,09
Non Life-threatening,Medical Incident,B07,08
Alarm,Odor (Strange / Unknown),B02,06
Potentially Life-Threatening,Traffic Collision,B08,18
Fire,Outside Fire,B06,11
Alarm,Smoke Investigation (Outside),B08,19
Alarm,Assist Police,B05,21
Alarm,Elevator / Escalator Rescue,B08,20
Alarm,Structure Fire,B04,16
Fire,High Angle Rescue,B07,34
Non Life-threatening,Traffic Collision,B09,32
Alarm,Alarms,B06,20
Fire,HazMat,B02,36
Alarm,Alarms,B08,39
Potentially Life-Threatening,Traffic Collision,B09,15
Non Life-threatening,Other,B02,37
Alarm,Outside Fire,B03,48
Fire,Confined Space / Structure Collapse,B04,03
Fire,Structure Fire,B05,21
Fire,Industrial Accidents,B05,10
Potentially Life-Threatening,Traffic Collision,B10,47
Alarm,Assist Police,B01,41
Alarm,Citizen Assist / Service Call,B03,02
Alarm,Electrical Hazard,B07,34
Potentially Life-Threatening,Traffic Collision,B99,16
Fire,HazMat,B05,05
Non Life-threatening,Other,B04,38
Alarm,Other,B08,33
Fire,Watercraft in Distress,B04,28
Fire,Outside Fire,B06,29
Potentially Life-Threatening,Medical Incident,B10,37
Non Life-threatening,Medical Incident,B06,37
Fire,Explosion,B08,22
Alarm,Structure Fire,B03,04
Alarm,Smoke Investigation (Outside),B01,28
Fire,Suspicious Package,B09,44
Fire,Water Rescue,B03,08
Alarm,Citizen Assist / Service Call,B05,21
Alarm,Alarms,B06,26
Alarm,Electrical Hazard,B10,07
Alarm,Alarms,B06,36
Alarm,Structure Fire,B09,43
Fire,HazMat,B03,13
Potentially Life-Threatening,Medical Incident,B01,07
Non Life-threatening,Medical Incident,B08,22
Non Life-threatening,Medical Incident,B03,33
Alarm,Electrical Hazard,B09,39
Alarm,Outside Fire,B01,01
Non Life-threatening,Medical Incident,B08,06
Alarm,Alarms,B01,16
Fire,Confined Space / Structure Collapse,B09,26
Alarm,Alarms,B03,01
Fire,Outside Fire,B06,43
Alarm,Gas Leak (Natural and LP Gases),B05,24
Fire,Structure Fire,B09,42
Alarm,Other,B99,10
Fire,Structure Fire,B09,44
Non Life-threatening,Medical Incident,B02,10
Alarm,Gas Leak (Natural and LP Gases),B99,14
Non Life-threatening,Medical Incident,B07,34
Potentially Life-Threatening,Traffic Collision,B99,36
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B99,51
Fire,Suspicious Package,B05,21
Alarm,Alarms,B02,29
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B02,07
Alarm,Gas Leak (Natural and LP Gases),B03,37
Fire,Confined Space / Structure Collapse,B01,02
Alarm,Alarms,B09,51
Alarm,Odor (Strange / Unknown),B09,43
Potentially Life-Threatening,Medical Incident,B02,15
Alarm,Alarms,B01,36
Fire,Outside Fire,B01,35
Alarm,Alarms,B06,19
Alarm,Gas Leak (Natural and LP Gases),B99,31
Potentially Life-Threatening,Medical Incident,B06,07
Non Life-threatening,Medical Incident,B10,07
Fire,Confined Space / Structure Collapse,B03,08
Fire,Other,B04,16
Alarm,Citizen Assist / Service Call,B09,42
Alarm,Citizen Assist / Service Call,B09,44
Alarm,Electrical Hazard,B08,22
Alarm,Odor (Strange / Unknown),B03,04
Fire,Outside Fire,B02,36
Non Life-threatening,Medical Incident,B09,39
Alarm,Other,B10,09
Alarm,Elevator / Escalator Rescue,B04,10
Alarm,Gas Leak (Natural and LP Gases),B07,22
Alarm,Smoke Investigation (Outside),B08,12
Alarm,Other,B01,41
Fire,HazMat,B06,11
Fire,Explosion,B07,34
Potentially Life-Threatening,Medical Incident,B05,10
Alarm,Elevator / Escalator Rescue,B08,19
Alarm,Smoke Investigation (Outside),B08,20
Potentially Life-Threatening,Other,B02,07
Alarm,Medical Incident,B04,05
Alarm,Medical Incident,B07,10
Fire,Confined Space / Structure Collapse,B09,19
Potentially Life-Threatening,Medical Incident,B10,47
Alarm,Other,B99,28
Fire,Structure Fire,B02,05
Non Life-threatening,Medical Incident,B02,28
Potentially Life-Threatening,Medical Incident,B99,19
Alarm,Citizen Assist / Service Call,B03,29
Fire,Outside Fire,B04,03
Potentially Life-Threatening,Medical Incident,B09,15
Fire,Vehicle Fire,B09,32
Alarm,Other,B03,17
Fire,Suspicious Package,B02,01
Potentially Life-Threatening,Medical Incident,B07,29
Alarm,Citizen Assist / Service Call,B05,20
Fire,Structure Fire,B03,35
Non Life-threatening,Traffic Collision,B06,37
Potentially Life-Threatening,Traffic Collision,B10,37
Non Life-threatening,Medical Incident,B07,40
Alarm,Structure Fire,B02,35
Potentially Life-Threatening,Medical Incident,B99,16
Alarm,Fuel Spill,B08,22
Fire,Structure Fire,B10,17
Alarm,Citizen Assist / Service Call,B05,12
Alarm,Outside Fire,B05,06
Alarm,Other,B06,13
Non Life-threatening,Medical Incident,B09,10
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B08,23
Alarm,Citizen Assist / Service Call,B02,05
Alarm,Assist Police,B01,13
Fire,Water Rescue,B01,35
Alarm,Gas Leak (Natural and LP Gases),B08,18
Non Life-threatening,Traffic Collision,B08,22
Alarm,Assist Police,B03,03
Potentially Life-Threatening,Medical Incident,B07,35
Fire,Structure Fire,B03,29
Alarm,Structure Fire,B02,29
Alarm,Odor (Strange / Unknown),B06,26
Potentially Life-Threatening,Medical Incident,B99,48
Potentially Life-Threatening,Other,B08,23
Fire,Structure Fire,B05,20
Fire,HazMat,B06,06
Alarm,Citizen Assist / Service Call,B03,35
Alarm,Odor (Strange / Unknown),B03,01
Non Life-threatening,Other,B08,20
Fire,Outside Fire,B09,26
Fire,Structure Fire,B05,12
Alarm,Citizen Assist / Service Call,B10,17
Non Life-threatening,Other,B08,12
Alarm,Other,B04,08
Alarm,Other,B10,29
Alarm,Elevator / Escalator Rescue,B04,28
Alarm,Structure Fire,B01,16
Potentially Life-Threatening,Medical Incident,B07,43
Potentially Life-Threatening,Traffic Collision,B07,51
Alarm,Structure Fire,B03,01
Non Life-threatening,Traffic Collision,B07,34
Fire,Structure Fire,B02,01
Potentially Life-Threatening,Medical Incident,B99,36
Fire,Suspicious Package,B03,35
Alarm,Fuel Spill,B09,39
Alarm,Smoke Investigation (Outside),B02,37
Alarm,Gas Leak (Natural and LP Gases),B08,40
Fire,Suspicious Package,B10,17
Fire,Structure Fire,B04,41
Alarm,HazMat,B04,05
Alarm,Fuel Spill,B10,07
Alarm,HazMat,B07,10
Alarm,Other,B03,03
Alarm,Alarms,B09,43
Alarm,Other,B01,13
Non Life-threatening,Other,B01,28
Fire,Watercraft in Distress,B08,19
Alarm,Smoke Investigation (Outside),B04,38
Alarm,Structure Fire,B06,26
Fire,Outside Fire,B06,09
Alarm,Odor (Strange / Unknown),B02,29
Fire,Outside Fire,B01,02
Fire,Outside Fire,B03,08
Alarm,Citizen Assist / Service Call,B02,01
Fire,Confined Space / Structure Collapse,B02,36
Alarm,Alarms,B03,04
Alarm,Elevator / Escalator Rescue,B06,32
Alarm,Other,B10,43
Non Life-threatening,Traffic Collision,B10,07
Potentially Life-Threatening,Traffic Collision,B06,07
Alarm,Citizen Assist / Service Call,B04,41
Potentially Life-Threatening,Traffic Collision,B05,10
Fire,Odor (Strange / Unknown),B02,05
Non Life-threatening,Other,B01,39
Fire,Outside Fire,B09,19
Fire,Industrial Accidents,B09,15
Alarm,Elevator / Escalator Rescue,B06,24
Alarm,Fuel Spill,B07,34
Non Life-threatening,Traffic Collision,B09,39
Non Life-threatening,Medical Incident,B07,18
Fire,Industrial Accidents,B10,47
Alarm,Structure Fire,B08,39
Alarm,Other,B10,17
Fire,Outside Fire,B02,21
Non Life-threatening,Medical Incident,B99,44
Non Life-threatening,Medical Incident,B99,42
Potentially Life-Threatening,Traffic Collision,B99,14
Alarm,Citizen Assist / Service Call,B10,29
Alarm,HazMat,B05,06
Potentially Life-Threatening,Medical Incident,B08,40
Alarm,Structure Fire,B06,20
Alarm,Other,B03,35
Alarm,Medical Incident,B01,01
Alarm,Alarms,B04,16
Alarm,Aircraft Emergency,B07,34
Fire,Confined Space / Structure Collapse,B05,05
Non Life-threatening,Traffic Collision,B99,04
Potentially Life-Threatening,Traffic Collision,B05,24
Potentially Life-Threatening,Medical Incident,B99,12
Alarm,Structure Fire,B10,44
Alarm,Structure Fire,B10,42
Alarm,Alarms,B05,08
Potentially Life-Threatening,Medical Incident,B05,25
Fire,Industrial Accidents,B08,18
Potentially Life-Threatening,Medical Incident,B04,07
Alarm,Other,B02,05
Non Life-threatening,Medical Incident,B99,23
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B10,25
Potentially Life-Threatening,Traffic Collision,B03,37
Fire,HazMat,B04,03
Non Life-threatening,Medical Incident,B99,05
Non Life-threatening,Traffic Collision,B02,32
Alarm,Other,B05,12
Fire,Watercraft in Distress,B01,28
Non Life-threatening,Other,B08,19
Fire,Structure Fire,B10,29
Fire,Outside Fire,B06,06
Alarm,Other,B99,25
Alarm,Other,B05,20
Non Life-threatening,Other,B07,23
Potentially Life-Threatening,Traffic Collision,B06,33
Non Life-threatening,Traffic Collision,B10,33
Non Life-threatening,Other,B04,10
Alarm,Smoke Investigation (Outside),B04,28
Alarm,Assist Police,B02,01
Fire,Water Rescue,B06,11
Potentially Life-Threatening,Traffic Collision,B99,31
Potentially Life-Threatening,Other,B10,25
Alarm,Other,B03,29
Alarm,Alarms,B09,17
Alarm,Assist Police,B04,41
Potentially Life-Threatening,Traffic Collision,B07,22
Alarm,Odor (Strange / Unknown),B02,03
Alarm,Electrical Hazard,B09,32
Alarm,Assist Police,B03,29
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B09,33
Alarm,Elevator / Escalator Rescue,B01,10
Potentially Life-Threatening,Medical Incident,B05,38
Alarm,Gas Leak (Natural and LP Gases),B10,47
Alarm,Outside Fire,B04,05
Alarm,Other,B10,11
Alarm,Other,B04,41
Alarm,Gas Leak (Natural and LP Gases),B09,15
Fire,Explosion,B09,32
Alarm,Structure Fire,B02,03
Alarm,Elevator / Escalator Rescue,B04,38
Fire,Structure Fire,B03,03
Fire,Structure Fire,B01,13
Alarm,Assist Police,B05,12
Alarm,Gas Leak (Natural and LP Gases),B99,16
Alarm,Other,B02,01
